"home_team_id","year","row","away_team_id","round","seed_diff","score_diff","home_win","ORTG","ORTG_l","ORTG_u","DRTG","DRTG_l","DRTG_u","NRTG","eFG.","eFG._l","eFG._u","TS.","TS._l","TS._u","ORB.","ORB._l","ORB._u","DRB.","DRB._l","DRB._u","TRB.","TRB._l","TRB._u","AST.","AST._l","AST._u","STL.","STL._l","STL._u","BLK.","BLK._l","BLK._u","TOV.","TOV_l","TOV_u","FTr.","FTr_l","FTr_u","threePr","threePr_l","threePr_u","threeP.","threeP._l","threeP._u","twoP.","twoP._l","twoP._u","pace","O_eFG.","O_eFG._l","O_eFG._u","O_TS.","O_TS._l","O_TS._u","O_AST.","O_AST._l","O_AST._u","O_STL.","O_STL._l","O_STL._u","O_BLK.","O_BLK._l","O_BLK._u","O_TOV.","O_TOV._l","O_TOV._u","O_FTr.","O_FTr._l","O_FTr._u","O_TPr.","O_TPr._l","O_TPr._u","O_threeP.","O_threeP._l","O_threeP._u","O_twoP.","O_twoP._l","O_twoP._u","avg_height","avg_exp","top_100_recruit","gini","G0_min","G1_min","F0_min","F1_min","C0_min","C1_min","G0_pts","G1_pts","F0_pts","F1_pts","C0_pts","C1_pts","MAS_0","MOR_0","POM_0","PGH_0","CMP_0","SEL_last","MAS_last","BIH_last","MOR_last","POM_last","SAG_last","DOK_last","WLK_last","WOB_last","DOL_last","KPK_last","KRA_last","REW_last","PGH_last","CMP_last","RTP_last"
"alabama-birmingham",2011,1,"clemson",0,0,-18,0,0.413849833859951,0.0337054139649315,-0.0145013282265583,0.715099677189738,0.0846228097873999,-0.00382452551498114,-0.0979028996035052,0.198555106004849,0.00144049509549737,-0.0279318379094522,0.0248456604738189,0.0224451742579215,-0.0201692486455919,-0.321355750817799,-0.0269597069597069,0.0203331077524626,-0.0500325664472281,-0.0295624195624196,0.0356666666666666,-0.211630642178089,-0.0259292808032303,0.00606109852588732,0.209428340901328,-0.0269226425748165,0.0233892921960074,-2.3974898478162,-0.0490870380546572,-0.0124639373735026,-1.67380596526839,-0.0187987470216893,-0.0454532384479358,-0.729585721071925,0.0102387651976082,-0.0520895579394045,-1.63149700962421,-0.102484868676773,-0.164014146772768,0.65554409700845,0.00721120438290543,0.0490723562152134,-0.444070803005422,-0.012,-0.0153,0.626315291658272,0.0319366444366445,3.95256916994047e-05,-0.748441681644848,0.166863390649914,-0.0101178270351203,0.0359407902886163,0.00355926737460943,-0.0314789317738364,0.00628773212541367,-0.973338691000231,-0.0729090909090909,0.0034005468215994,-0.941428623252872,-0.000209822822906949,-0.029489563236122,0.410864552956449,0.0157034898984482,-0.0143959801450734,-1.79217200184792,-0.0385765804347994,-0.02834293598563,-0.344225171117625,-0.0399725274725275,-0.0562985477879094,-0.673074864806301,0.00757071267615108,-0.0134615384615385,-0.528576214965319,0.00659999999999997,-0.0445,0.518034382929456,0.0233508229088858,0.0231969250261933,0.0933352005080508,-0.391062704753147,-3,0.0287840243697427,0.198795333065119,-0.187202712799586,0.0574929593654808,-0.167439508017702,-0.0526329099373527,0.148309672969711,0.126590200657448,-0.204530236345187,0.0584689514650809,-0.0695854186625403,-0.0889821703086929,0.177094831759252,36,76,86,21,40,5,15,3,46,32,11,38,13,-2,7,9,3,-12,1,10,-24
"north-carolina-asheville",2011,2,"arkansas-little-rock",0,0,4,1,-0.0569683223410062,-0.0255859863685652,-0.00994236044607311,-1.25330072687484,-0.0480235988980348,-0.0512759643220164,0.626478623640096,0.535579680516002,0.00408130316393168,0.0366191325014854,0.462085877476191,-0.00933789770031279,0.00850642041331084,0.957445153738999,0.042551000198059,-0.0136974789915966,-1.51058826622948,-0.0320032840722495,-0.05,0.219689347214225,-0.0105169340463458,-0.00301554428812878,0.964298256725243,-0.0169275362318841,0.0816742081447963,2.35773159184124,0.0617442489410219,0.0309750135262095,1.65968654675673,0.012162345215989,0.0313333363829504,1.75994441827416,0.0353067366229861,0.0554025379291334,-0.124329557977843,-0.0843062200956938,0.0500479912244618,-1.80863810508475,-0.00762456497750615,-0.0743771043771044,-2.4771039435204,-0.0136,-0.0782,2.33664992732396,0.070502735332956,0.160458839406208,1.55312588993094,-0.965100858611182,0.0055512619941594,-0.0259782453418717,-1.169458722402,-0.0104259352759575,-0.0647014024299821,-0.495663461160072,0.0556302521008403,-0.0188184364654953,3.53276837903956,0.0310701318682395,0.0620361231126091,-0.473573319272318,-0.00858651527579798,0.0101435283534818,1.58310073725676,0.0102826896556225,0.0504045821287639,-0.892913129646855,-0.000632411067193694,-0.174697336561743,-0.535986451182859,-0.00141074429446522,-0.0325433399166118,0.00667956662045169,0.0288,-0.00379999999999997,-1.25863277214309,-0.0416574875426173,-0.0435518504484023,1.15318487141953,-0.432358764666361,0,0.113165639870778,0.0540651719622038,0.0232108411309209,0.0540929362681629,-0.137077065229805,0.0480448856279672,-0.0423367697594502,0.0340447882347324,0.0126442975604987,0.043096568236233,-0.121385029206258,0.069450413025832,-0.0378510378510378,-5,14,9,-14,-16,-28,-47,-18,-45,-67,-52,-74,-83,-22,-12,-45,-17,-46,-29,-42,-20
"alabama-state",2011,3,"texas-san-antonio",0,0,-9,0,-1.50134750141312,-0.203087405928858,-0.136500810177066,-1.16437936170279,-0.0262284565550293,-0.0674059154432114,-0.403785676383492,-1.76498864628506,-0.0805194480438291,-0.0364791441488558,-2.01312200980441,-0.0907771709123306,-0.0118454307588912,1.80915370300829,0.0525639925639925,0.119387163561077,0.125390068319056,0.0243252256914496,-0.00751325106629663,0.96169857413632,0.0295871756283506,0.0791376089663761,0.368239679837029,-0.0643147724383423,0.0477033492822967,0.669022237534071,0.0177506428453065,0.012445210761665,2.21672056338881,0.0165128225457434,0.0582810967303212,1.76604576989485,0.0796760222641343,0.0162484107086581,1.01326055845132,-0.107958933236134,0.172760539461641,-1.77474511621385,-0.0269931972789116,-0.0605584112705552,-2.58249741008533,-0.0572,-0.0454999999999998,-0.671827899943484,-0.0548313492063492,0.0217054263565891,-0.889447555130319,-0.820175182187976,-0.0300964923576303,-0.0309514472455648,-0.236102547348951,0.0120803115226806,-0.0475252607103701,0.55453572304264,0.0558441558441558,-0.0220520622041919,2.05825558001334,0.00878173886583558,0.0422389608040616,-1.18339464173167,0.00132531886009212,-0.0220660059267768,1.52237918544339,0.0390575020700829,0.0315507443622408,2.29587965953481,0.16962871811157,0.126618251765361,-1.41488283615864,0.00468186278550594,-0.0373846153846154,1.08125843764751,0.0744,-0.0205999999999999,-1.44790611182221,-0.0721484397954986,-0.0343123543123545,-0.401725073007924,0.359594284522319,0,-0.190462167528683,0.088619107217355,0.120705047976637,-0.299304338756779,0.0946631205673759,0,-0.00468293700458907,0.0985038498345603,0.14396731549879,-0.411741526298342,0.161399075539321,0,0.00787128542567098,73,28,40,78,77,83,99,85,68,76,89,53,67,77,107,74,88,50,72,76,68
"southern-california",2011,4,"virginia-commonwealth",0,0,-13,0,-0.707353595866929,-0.0052513996355209,-0.102040223250316,-0.926307598523193,-0.117897472382343,0.0742747588510617,0.0102492720920779,-0.244735639556927,-0.020632798573975,-0.0165997766994461,-0.627627462490739,0.00363932382448001,-0.0232692958898464,-0.507236269158182,0.00875000000000001,-0.0432971237275397,2.44110132189165,0.0859595959595959,0.0658637658637659,0.89132125483485,0.037791984567634,0.0330636035262319,-1.59031330524154,-0.12620347394541,-0.0173717948717947,-2.21807869181008,-0.0221750944931748,-0.0658090614768261,-0.629973318334898,-0.00208811629236757,-0.000905135600881707,0.0392402887400392,0.0103576673131158,0.00381553156105879,-0.442513709773424,0.0221297729618163,-0.0507708911501695,-1.52788742274577,-0.0305495638002109,-0.0474038006356935,-0.0647559609962659,-0.0932,0.081,-0.0733472293834348,0.0117187050773387,-0.0465164465164465,-0.367653237102213,-1.5154734892943,-0.059553691922113,-0.0179582210242588,-1.10562782837312,-0.0555478691958556,0.0128219781789426,-1.77467895810719,-0.112605042016807,-0.0997142857142856,-1.16770428278861,-0.0142348418225637,-0.00869678495282111,-1.12186405608133,0.00110195117780921,-0.00580996493705363,-1.66086323582196,-0.040600895115186,-0.0528638237538605,0.374210469774935,0.0265440356744704,-0.000334181108416653,0.049352979012518,-0.0037712096332786,0.000575496728874691,-0.944158338085805,-0.0382,-0.0905,-1.49721692747289,-0.0687286312546938,-0.0357592681472432,-0.83733007733008,-0.271568308234975,1,0.0890320272381036,0.0157794057794058,-0.135871659204993,0.106520146520147,-0.0792253425586759,-0.0912277845611179,0.184025234025234,0.0208039780902388,-0.111674786905742,0.108348134991119,-0.147944843565496,-0.0625,0.192967517389881,12,78,9,7,26,-3,-10,2,-36,-40,-15,-40,4,8,-10,-15,10,40,8,-7,37
"notre-dame",2011,5,"akron",1,-13,13,1,2.00583370064745,0.0845555781593454,0.203756013286201,0.561334439089338,-0.0429629328403144,-0.00251841615132897,1.06724236213976,1.47608514439279,0.0237825682472309,0.062630444646098,1.78293055552294,0.0378339363901986,0.050177938776641,1.38949350540317,0.0892643248920527,0.0395113397241057,1.47896222974688,0.0405971479500891,0.0311965811965813,2.03861082782542,0.0661899744091524,0.0604549601019434,1.51349753777709,0.0893267651888342,0.00833333333333341,-1.47348531467254,-0.00287386895144876,-0.0393966879432699,0.409141695651764,0.00246282952544946,0.00904510770377585,-0.802197587703986,0.0118333665591961,-0.0464638344558254,2.66200044827026,0.0582268424611224,0.278629245407691,0.571996425972154,0.000201760821716787,0.00854462474645043,1.15096583697581,0.0186,0.0185000000000001,1.30782819820449,0.0563187470109995,0.0399469261388766,-0.83678802071257,0.0459817181553875,0.008926037581447,-0.0313169642857143,-0.222680483211402,-0.0156670702593224,0.00902211351087234,1.07422032343669,0.0742657598156319,0.00816692789968654,-0.699446703356686,0.00443504195130887,-0.0225642674316744,1.57793179129595,0.0115041445079186,0.0298649112455657,-2.11991762868405,-0.0557046116879232,-0.0562649358664151,-1.97152565353316,-0.100897435897436,-0.12250044754744,1.1584619973323,0.0394129451667609,0.0180952380952381,1.39948945013694,0.0559,0.0225000000000001,-0.750253532792551,0.0038153356673904,-0.0294609929078014,1.5515867834001,0.430532225354899,0,0.0580078515324703,0.0284171736657269,-0.242370282435574,-0.0712019587475887,0.385074936934263,-0.0440836919424247,-0.0558361774744027,-0.0168905481575468,-0.140010705669668,-0.0700570845140754,0.303886443078425,-0.0579106720905422,-0.0190174326465927,-83,-148,-68,-52,-69,-108,-113,-109,-103,-113,-119,-116,-105,-110,-118,-110,-108,-120,-108,-109,-92
"wisconsin",2011,6,"belmont",1,-9,14,1,0.630457490777449,-0.00743125636263731,0.104695544007427,2.55119305681745,0.109496919955522,0.164011696543655,-0.925075100348199,-0.829580254490783,-0.0387588690034947,0.0307345110496606,-0.691490816161576,-0.0727570206800339,0.0174979274576345,-0.775313790707471,-0.019949494949495,-0.00615530303030304,1.74790111041421,0.0739819004524888,0.0772485768500949,0.126759144937593,0.0131331192526639,0.00983525940496677,-1.0388394919804,-0.0808275862068965,-0.0544615384615386,-4.78470536081031,-0.0517575384675841,-0.088307121669484,0.365457626114252,0.00252974415613398,0.00890292220112585,-3.38245465772369,-0.0760159679095532,-0.0452529234816739,-1.96803333998552,-0.109584603135382,-0.0783400809716599,-0.474782491779836,-0.0336860561690609,0.0166729720707689,-0.355464153043096,-0.0463,0.0768000000000001,-0.958812283865962,0.0132736516357205,-0.0596969696969697,-4.20741942476584,1.00835789553303,-0.0125594995240038,0.0365369645922319,0.756010971253611,0.0100820637231138,0.0328041575768225,-1.42444126580886,-0.132723789620341,-0.0462820512820512,-2.76332061363178,-0.00884483973794277,-0.0398306623263644,-3.55363897839998,-0.0147874306023484,-0.0360443001862312,-4.78355509814622,-0.0904958463984128,-0.129168680263728,-2.23485022330595,-0.155172413793103,-0.156971928209848,0.513447722859052,-0.00252167060677701,0.0105940229401242,2.09162922078509,0.0338,0.00719999999999998,0.324010824461495,-0.0136601717997067,0.0248626373626374,0.56917270109318,0.394127361347984,2,0.393007261555649,-0.0812106752655303,0.127193844108318,-0.105766954641616,0.0556702484910051,0.0313914440064243,-0.0272779066986018,-0.170949122562026,0.218847460782945,-0.116431597076758,0.0287483126192804,0.0307359307359307,0.00904901550062842,-145,-134,-75,-148,-129,-35,-25,-19,-30,-9,-23,-8,-7,-38,-21,-21,-36,-22,-40,-19,-3
"kansas",2011,7,"boston-university",1,-15,19,1,2.07500946340654,0.165833538791379,0.0875141963400907,-1.41054904630689,-0.112203331111458,-0.0758419951895568,2.16100018076449,3.57902430761024,0.101617047669679,0.11729770531401,2.82387286500334,0.113648459853214,0.0833715659763394,0.970536788018373,0.0370065789473684,0.067159443534047,1.70783456334364,0.0757883179622311,0.0321549773755655,1.83531739588111,0.0350221309367844,0.0437054511407959,2.67958595257751,0.219090909090909,0.0903724747474748,1.6761402059698,0.0158701838500698,0.0450106821607099,0.0188874297010516,-0.00391114477280784,-0.010278875311517,0.153806939286737,0.0220685619966265,0.00575251469297,0.587476743136283,0.000143678160919564,-0.0246944444444445,-0.686571022497545,-0.00236479591836736,-0.037378095013988,1.18595814458858,0.0283,0.0596,4.64483715223969,0.132836834810519,0.0885347985347986,2.38249624040438,-0.339240644253253,-0.0593441150044923,0.00561645124164489,-0.0779067246153504,-0.022025565945864,0.0129081361972492,-0.920824055775602,-0.0686346300533944,-0.0584722222222223,0.625920790813779,-0.00121590149077508,0.000403003828824133,-1.92157573287366,0.0104344545421392,-0.0549669857453616,1.09229641757691,-0.0167000661348424,0.0590259685649686,0.331916510466894,-0.0183548733420309,0.160053153068275,-1.31064936695365,-0.03361682895764,-0.0230820105820106,-1.16874930512472,-0.1013,0.024,0.30715226511617,0.00500442366026288,0.0172373862696443,1.61366548042706,0.483331894288548,9,-0.0725383819857498,-0.044237792427513,0.289151391400735,-0.100606965754623,-0.433529432355172,0.0844590163934426,0.20476378274313,-0.024231074695601,0.22136049640892,-0.0588131438660244,-0.547703365958735,0.101167315175097,0.308219772936343,-145,-93,-128,-165,-138,-154,-148,-150,-149,-166,-164,-180,-133,-146,-162,-156,-150,-160,-148,-153,-118
"connecticut",2011,8,"bucknell",1,-11,29,1,0.404352094101395,0.0612311158730711,0.0189836969261556,0.629783299880642,0.127816278855317,0.00291713914792524,-0.0590812593229608,-1.07776743405629,-0.0131493506493506,-0.00186980721142205,-1.08313726464668,-0.0414189611950126,0.00793139125712472,3.3304462148351,0.124842338189194,0.0851428571428571,-1.9098938262459,-0.0565631802039179,-0.0392676767676768,0.833568722766405,0.0237704286154795,0.00691884364438256,-1.71730415501904,-0.162363689949897,-0.0147588932806322,1.63682594450483,0.0255168017555121,0.0326680968952727,2.34209850295924,0.0172044759933464,0.042128397255414,0.0581205407324117,0.0192848580298489,-0.00901882090965034,0.0179380518785444,0.0296245601271902,-0.0125283018867924,-1.31385889899918,-0.0387425326787721,-0.00353679653679653,-2.57656962299186,-0.047,-0.0104,0.126906554138936,0.000182724252491717,0.0100834403080873,-0.111200487098056,0.122768842485534,0.0520666361734387,-0.023647069776102,-0.29116852291461,0.0218772004710507,-0.00253021753651028,-0.978083048369337,-0.0107070707070707,-0.00846045959650443,0.733585397273752,0.0191979616168205,-0.0156095223260768,2.16236182981113,0.0114431153790166,0.0200122277856879,0.0121064824188694,-0.0127216102165199,0.0258116478159193,-1.29689611446489,-0.0163228779018253,-0.19025641025641,-0.671890830934095,-0.00709322286908494,-0.0318532179505367,0.871040895682287,0.0392,0.0236000000000001,-0.199519931585443,-0.0180601247872944,0.0112811512811514,0.795261232589027,-0.593684134806859,6,0.0849663834105597,-0.0570077074096752,-0.0427033656098293,0.127080816392413,-0.15158658949315,0.0526034482456125,0.0716133978746287,-0.0697757725710366,0.104761368207665,0.101246090743465,-0.116627971222055,-0.0580358245970301,0.0384321094389916,-230,-108,-168,-249,-194,-88,-67,-72,-95,-73,-74,-67,-55,-84,-75,-79,-81,-51,-84,-71,-39
"west-virginia",2011,9,"clemson",1,-7,8,1,0.690742078603312,0.0304841297206445,0.0270284963249061,1.38729638680575,0.154192095690852,0.090006021528573,-0.266248168995707,-0.636880571504221,-0.00508497807017544,-0.0632685149531511,-0.386062427701234,0.0177788697450342,-0.0551231595268595,1.35128971820292,0.0465367965367965,0.113426573426573,-1.34490609471263,-0.0668332483426823,-0.0393333333333333,0.133283309890411,0.00295918367346948,-0.00777864992150701,1.68926497589415,0.155987410335236,0.100362976406534,-3.03708782317882,-0.0539208666919877,-0.05239992568373,-0.472889905464753,0.0118364961193014,-0.0368294579135216,-0.534317143230091,0.0248498346299893,-0.0254937974223688,0.451727152333546,0.0210144927536232,-0.035620084694495,-0.36878816808413,-0.00549903619618761,0.0105132962275819,-0.507226495947604,-0.023,-0.038,-0.550724891676798,-0.0131493506493506,-0.0453615438270171,-0.360933079375965,0.153238857392986,-0.0217511090073852,0.050854448059417,0.0755042293854622,-0.0307726863826774,0.0141703269694654,-0.866645415900585,-0.0827272727272728,0.0641148325358851,0.0744747251559895,-0.00314439181440192,-0.000887190985675551,-0.142196400487057,0.0141507108176997,-0.0213657038141725,-2.07770758221899,-0.0165519202292515,-0.0576419210284622,0.105322366819025,-0.0214285714285714,0.064935064935065,-0.60692533088161,-0.0134935888759554,-0.00800699300699304,-1.35864390479137,-0.0635,-0.0522000000000001,0.935117716393434,0.0540444344535611,0.043040293040293,1.5938907321389,0.34846604733466,-2,0.016219775632484,-0.0505795178057952,0.0435047555850476,-0.0738575536385755,0.085966600309666,0.00649856226498563,-0.0115328467153285,-0.0343347639484979,0.0956082661354196,-0.0731907811978778,0.0281804475968088,-0.00553355485194718,-0.0107296137339056,-27,-1,-7,-32,-17,-22,-19,-24,-3,-3,-23,-8,-19,-23,-23,-21,-25,-22,-24,-18,-25
"texas-am",2011,10,"florida-state",1,-3,-7,0,1.09322490885618,0.0314365631281776,0.0630292140695492,1.21812747506979,0.0235526624646885,0.153989351166225,0.0974821846080114,0.168408567563436,-0.000757575757575735,-0.00535714285714295,0.681255798196504,0.0401898886362231,-0.0111909051053162,0.411988872269273,0.0147058823529412,0.0127314814814815,0.373893153938685,0.0129032258064516,-0.00925925925925919,0.413410089693725,0.00835175632522722,0.025857654889913,1.33860142504687,0.0588235294117647,0.06055900621118,-1.48258526552203,-0.0205172732937555,-0.0490860856242186,-3.77251912086185,-0.043114713533442,-0.0747385438477013,-1.37573616931481,-0.00947774269344709,-0.0605806510809924,1.88657040720193,0.0876811594202899,0.206535947712418,-0.307025155587395,-0.013251155624037,0.0170634920634921,0.252420551422551,0.00800000000000001,0.038,0.0883838050379374,-0.00623700623700624,0.0396270396270396,-2.14915606677629,1.60966818616664,0.0126231527093596,0.0530844155844157,1.32953417985123,0.0276152243194194,0.0125140006967571,-0.401779076678567,0,-0.0392156862745099,-0.561141654924039,0.00940792138203593,-0.0149696743679168,2.26269715107898,0,0.0287322456967505,-0.649804376571072,-0.0125134280288426,-0.00491699746122976,0.0381716754519342,0.00903540903540906,0.0565302144249513,-0.739226655767578,-0.00357142857142857,-0.0175371711780404,0.705273214123734,0.00800000000000001,0.064,1.86572560069762,0.0769230769230769,0.05,-1.75184954349133,0.168723415887595,-3,0.0885199924722129,-0.0582658137882019,0.179326444699579,-0.0306817560548904,0.0739587775408671,0.144029850746269,-0.308367503143623,-0.0587201401559068,0.0852937575296766,0.00934435695617403,0.176030044637661,0.149068322981366,-0.361016341948971,-22,5,15,-17,-4,-14,-13,-19,-1,3,-11,1,-3,-23,-20,-13,-19,-12,-15,-12,-29
